,UserID,Title,ISBN,Rating
3890,3,Radikus Makankakus: Bukan Binatang Biasa,9789797801663.0,2
3891,3,"Bleach, Vol. 1",9781591164418.0,3
3892,3,恋愛操作 [Renai Sousa],9784862630636.0,4
3893,3,"Othello, volume 6",9780345484383.0,3
3894,3,"Othello, Volume 1",9780345479136.0,3
3895,3,"Othello, Volume 3",9780345479983.0,3
3896,3,Croquis,9781427817990.0,3
3897,3,"Close The Last Door, Volume 01",9781569708835.0,3
3898,3,I.O.N,9781421518008.0,3
3899,3,"Kamikaze Kaito Jeanne, Vol. 1",9781401205553.0,4
3900,3,"Kamikaze Kaito Jeanne, Vol. 2",9781401205560.0,4
3901,3,"Kamikaze Kaito Jeanne, Vol. 7",9781401208431.0,4
3902,3,Yurara's Moon Vol. 3,9789792308709.0,2
3903,3,"Vampire Knight, Vol. 4",9781421515632.0,4
3904,3,Kucing Bersepatu Boot,,4
3905,3,Pocahontas,9781570821141.0,2
3906,3,名探偵コナン 20,9784091250506.0,4
3907,3,名探偵コナン 21,9784091254917.0,4
3908,3,名探偵コナン 24,9784091254948.0,4
3909,3,名探偵コナン 26,9784091254962.0,5
3910,3,名探偵コナン 28,9784091254986.0,3
3911,3,名探偵コナン 29,9784091254993.0,3
3912,3,名探偵コナン 30,9784091255006.0,3
3913,3,名探偵コナン 31,9784091261618.0,3
3914,3,名探偵コナン 32,9784091261625.0,3
3915,3,名探偵コナン 33,9784091261632.0,3
3916,3,名探偵コナン 34,9784091261649.0,3
3917,3,名探偵コナン 35,9784091261656.0,3
3918,3,名探偵コナン 36,9784091261663.0,3
3919,3,名探偵コナン 37,9784091261670.0,3
3920,3,名探偵コナン 38,9784091261687.0,3
3921,3,名探偵コナン 39,9784091261694.0,3
3922,3,名探偵コナン 40,9784091261700.0,3
3923,3,名探偵コナン 44,9784091264145.0,3
3924,3,名探偵コナン 45,9784091264152.0,3
3925,3,名探偵コナン 46,9784091264169.0,3
3926,3,名探偵コナン 47,9784091264176.0,3
3927,3,"Jazz, Volume 02",9781569708941.0,3
3928,3,"Junjo Romantica, Volume 05",9781598167238.0,4
3929,3,"Hunter x Hunter, Vol. 18",9781421514710.0,4
3930,3,Chicken Soup for the Pet Lover's Soul,9781558745711.0,4
3931,3,"The Prince of Tennis, Volume 23: Rikkai's Law",9781421514734.0,3
3932,3,"The Prince of Tennis, Volume 25: And Shusuke Smiles",9781421516479.0,3
3933,3,Bad Hare Day,9780439662161.0,3
3934,3,BABY BITCH!,9784790118435.0,1
3935,3,"Candy Candy, Vol. 1",,4
3936,3,Dan Hujan Pun Berhenti,,2
3937,3,Meminang Bidadari,,3
3938,3,Kartun Benny & Mice: Jakarta Luar Dalem,9789792690088.0,4
3939,3,"Ultra Cute, Vol. 6",9781595329615.0,3
3940,3,Laskar Pelangi,9789793062792.0,4
3941,3,"Hunter x Hunter, Vol. 20",9781421517872.0,3
3942,3,ファースト・ガール 2,9784091321855.0,3
3943,3,ファースト・ガール 4,9784091321879.0,3
3944,3,Advertising and Promotion: An Integrated Marketing Communications Perspective,9780072536768.0,5
3945,3,"Hikaru no Go, Vol. 11: Fierce Battle",9781421510682.0,3
