,Title,Author,Year,Rating,Raters,Genres
850,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,2003,4.01,249828,"Fiction,Science Fiction,Science Fiction,Apocalyptic,Fantasy,Cultural,Speculative Fiction,Science Fiction Fantasy,Audiobook,Novels"
851,The Dictionary of Lost Words (Paperback),Pip Williams,2020,4.08,78396,"Historical,Fiction,Historical,Writing,Audiobook,Feminism,Adult,Book Club,Romance,Adult Fiction"
852,Bury My Heart at Wounded Knee: An Indian History of the American West (Paperback),Dee Brown,1970,4.23,84487,"History,Nonfiction,North American Hi...,Classics,Historical,Politics,Race,War,Westerns,Native Americans"
853,The Lincoln Highway (Hardcover),Amor Towles,2021,4.25,184562,"Fiction,Historical,Audiobook,Historical,Literary Fiction,Adventure,Book Club,Young Adult,Adult,Adult Fiction"
854,Every Last Word (Hardcover),Tamara Ireland Stone,2015,4.26,68499,"Young Adult,Contemporary,Health,Romance,Fiction,Mental Health,Realistic Fiction,Young Adult,Poetry,Young Adult"
855,"The Elite (The Selection, #2)",Kiera Cass,2013,3.97,657728,"Young Adult,Romance,Science Fiction,Fantasy,Fiction,Science Fiction,Audiobook,Young Adult,Womens Fiction,Young Adult"
856,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,2007,4.36,893668,"Fantasy,Young Adult,Fantasy,Fiction,Childrens,Adventure,Mythology,Childrens,Fantasy,Fantasy"
857,Queenie (Hardcover),Candice Carty-Williams,2019,3.87,124559,"Fiction,Contemporary,Audiobook,Adult,Health,Feminism,Race,Literary Fiction,Adult Fiction,Womens Fiction"
858,Fear and Loathing in Las Vegas (Paperback),Hunter S. Thompson,1971,4.07,328476,"Fiction,Classics,Humor,Writing,Novels,Literature,Literature,Contemporary,Travel,Humor"
859,Genghis Khan and the Making of the Modern World (Kindle Edition),Jack Weatherford,2004,4.03,66549,"History,Nonfiction,Biography,Cultural,Historical,History,Audiobook,War,Cultural,Biography Memoir"
860,Giovanni's Room (Paperback),James Baldwin,1956,4.3,105977,"Classics,Fiction,LGBT,LGBT,Romance,Novels,LGBT,Literary Fiction,Literature,Cultural"
861,Made to Stick: Why Some Ideas Survive and Others Die (Hardcover),Chip Heath,2006,3.97,87565,"Business,Nonfiction,Psychology,Leadership,Language,Self Help,Design,Buisness,Business,Business"
862,The Man in the High Castle (Paperback),Philip K. Dick,1962,3.61,195630,"Science Fiction,Fiction,Classics,Science Fiction,Science Fiction,Historical,Fantasy,Science Fiction Fantasy,Novels,Speculative Fiction"
